timestamp_ns,time_sec,absolute_error
1727873080455501500,1727873080.4555016,0.061247261390207086
1727873080716835700,1727873080.7168355,0.6922508403691539
1727873081806531700,1727873081.8065317,0.19002370678240066
1727873082652603300,1727873082.6526034,0.905560101308692
1727873083184446800,1727873083.1844468,0.12115651254419157
1727873084837854800,1727873084.8378546,0.7945469767355675
1727873085410351700,1727873085.4103515,0.8987412976957501
1727873088196718700,1727873088.1967187,2.662251347750093
1727873090372805000,1727873090.372805,4.417838957794203
1727873092627032400,1727873092.6270323,3.239996343206357
1727873093676133800,1727873093.6761339,4.640366248595043
1727873094505433700,1727873094.5054336,4.10539997489748
1727873096659341300,1727873096.6593413,4.705021533597801
1727873097464916500,1727873097.4649165,1.8146759021696113
1727873098054498000,1727873098.054498,6.196394546722843
1727873098325898500,1727873098.3258984,1.3923109419986872
1727873099406388400,1727873099.4063885,0.23519467253234438
1727873099724464600,1727873099.7244647,1.3141394835066365
1727873102171518000,1727873102.1715178,0.08275977522970379
1727873102754846600,1727873102.7548468,1.1543287879587751
1727873103525525500,1727873103.5255256,0.9094436721094894
1727873103823493800,1727873103.823494,1.2620653234627355
1727873104394758500,1727873104.3947585,4.0113364431338
1727873106567621900,1727873106.567622,5.350253842892087
1727873106877570800,1727873106.8775709,5.10205410655945
1727873107433129700,1727873107.4331298,7.0678718622655055
1727873110447128900,1727873110.4471288,1.4499770081859307
1727873111556714000,1727873111.556714,0.004075371579983056
1727873113140017300,1727873113.1400175,5.567939119586306
1727873113646915100,1727873113.646915,6.228929719481464
1727873114209621300,1727873114.2096212,12.40224766570951
1727873114477151100,1727873114.477151,2.522778066024685
1727873114723968200,1727873114.7239683,1.9738183404894158
1727873115808923600,1727873115.8089237,4.101704317395928
1727873116300854700,1727873116.3008547,4.963460555497505
1727873116600299300,1727873116.6002994,3.1004228299438807
1727873119273179300,1727873119.2731793,2.4470194038579223
1727873119558762500,1727873119.5587626,3.6822161269290916
1727873120343116300,1727873120.3431163,2.126077370816404
1727873122866970400,1727873122.8669703,1.2166066725699523
1727873123377040800,1727873123.3770409,1.4572919583809494
1727873126099392800,1727873126.0993927,3.124068176250084
1727873127586106600,1727873127.5861065,2.2460564550810656
1727873129240167900,1727873129.2401679,0.8473100940587699
1727873129522056000,1727873129.5220559,0.6094881520942579
1727873130582391500,1727873130.5823915,2.5748331761699603
1727873131984338700,1727873131.9843388,0.9428585734953288
1727873132572476000,1727873132.572476,1.111336961322536
1727873133072643200,1727873133.072643,3.6997564991140166
1727873136595502200,1727873136.5955021,2.2580993417681725
1727873136887821500,1727873136.8878217,0.26468227626313023
1727873137484081300,1727873137.4840815,1.0045909254924794
1727873139869493800,1727873139.8694937,2.496777407883833
1727873140779408400,1727873140.7794085,1.0411280398435494
1727873143113205000,1727873143.113205,2.881497481889097
1727873146091414700,1727873146.0914147,0.017463557398144758
1727873148031686400,1727873148.0316863,1.8837745466331057
1727873148288793700,1727873148.2887936,1.275428185590556
1727873149368992700,1727873149.3689928,4.256253951470683
1727873151237490300,1727873151.2374902,3.679047613532788
1727873152883810300,1727873152.8838103,6.1622746583051935
1727873153394320000,1727873153.3943198,5.891884673715936
1727873154790642600,1727873154.7906427,5.819338684544505
1727873155600549000,1727873155.6005492,5.185365345711375
1727873157573828300,1727873157.5738285,0.5552732696163503
1727873158645249100,1727873158.6452491,2.0665579175199724
1727873159403389200,1727873159.4033892,6.025629343535492
1727873160462280500,1727873160.4622805,1.9978682666206495
1727873160738401400,1727873160.7384012,2.15488323431007
1727873161586073100,1727873161.5860732,4.27426298345577
1727873162896089600,1727873162.8960896,5.19392313559584
1727873163978111700,1727873163.9781117,2.962028804014995
1727873164263268600,1727873164.2632687,4.593040970837965
1727873165094165400,1727873165.0941656,4.446017190264456
1727873165670389900,1727873165.6703901,3.356579988960945
1727873171687025800,1727873171.687026,7.104701413050748
1727873173808031700,1727873173.8080318,6.350580497033405
1727873174896505300,1727873174.8965054,3.8499448831446728
1727873175156794000,1727873175.156794,2.7230834156764416
1727873176205047500,1727873176.2050476,0.6177589964920855
1727873176785622700,1727873176.7856228,1.16625338077435
1727873178445704500,1727873178.4457045,2.1022818586100094
1727873179244564300,1727873179.2445643,4.537260552445204
1727873179494834200,1727873179.4948342,3.0021101159133163
1727873182144862100,1727873182.1448622,4.002405923115035
1727873182751863200,1727873182.7518632,1.1597270610573247
1727873183006429200,1727873183.0064292,2.1257235256685334
1727873184129368600,1727873184.1293685,2.177840094933117
1727873184625272400,1727873184.6252723,1.7799421314658446
1727873185988234400,1727873185.9882345,1.0655230641884401
1727873187127945900,1727873187.127946,5.1281118967306725
1727873188605940400,1727873188.6059406,7.534618286356903
1727873189666257200,1727873189.6662571,8.306564576579518
1727873191318321100,1727873191.3183212,4.338151174716344
1727873191875656800,1727873191.8756566,3.528231173415378
1727873192980370800,1727873192.9803708,0.5654279049216626
1727873193242950700,1727873193.2429507,0.8813798069091234
1727873193536689200,1727873193.536689,1.0740581697731102
1727873195154505800,1727873195.1545057,3.1467460538840832
1727873195419648800,1727873195.419649,6.430354956071875
1727873197647529300,1727873197.6475291,3.445443657664228
1727873198751355500,1727873198.7513554,1.8729476892698216
1727873199257880300,1727873199.2578802,2.2906421669761556
1727873199823418300,1727873199.8234184,5.951237840383925
1727873200113553000,1727873200.1135528,9.27298657563199
1727873202514215600,1727873202.5142157,5.141186360362269
1727873203113675300,1727873203.1136754,5.373750852408875
1727873203954018000,1727873203.954018,4.175762240438161
1727873205148606300,1727873205.1486063,0.463776240028281
1727873207840797300,1727873207.8407972,7.373592940256749
1727873208154676000,1727873208.154676,4.1010618649603146
1727873208414970000,1727873208.4149702,5.512335260117418
1727873212687691100,1727873212.687691,7.85066975807689
1727873213285521100,1727873213.2855213,4.086904793050593
1727873214619862200,1727873214.6198623,3.9934574272625127
1727873215368271100,1727873215.368271,2.6440694490343333
1727873215898550700,1727873215.8985507,4.186742978013228
1727873217027359000,1727873217.027359,2.1372944797958624
1727873218360339300,1727873218.3603392,5.3021748296675
1727873219190784600,1727873219.1907845,5.756374376555502
1727873219988837600,1727873219.9888377,6.894812848136912
1727873220555816400,1727873220.5558164,4.77030722852509
1727873221060896300,1727873221.0608962,7.222065479942593
1727873221334643700,1727873221.3346436,7.569931335888441
1727873222710484700,1727873222.7104847,5.0954382206145965
1727873222977212100,1727873222.9772122,6.934207463109061
1727873224053406800,1727873224.0534067,3.379669606684999
1727873225116459800,1727873225.1164598,6.10765650112603
1727873225921529800,1727873225.9215298,10.640870996001468
1727873228071651500,1727873228.0716517,7.6817491040851
1727873228583801400,1727873228.5838013,6.155325276601829
1727873228935581200,1727873228.9355812,7.566004756941979
1727873229184100200,1727873229.1841002,6.857444349340199
1727873229442850100,1727873229.44285,6.909441468396949
1727873230578480900,1727873230.578481,3.6088293031486387
1727873230825310100,1727873230.8253102,4.963734965528758
1727873233040900000,1727873233.0409,5.518184784109636
1727873233546266400,1727873233.5462663,5.30126042814323
1727873234923993200,1727873234.923993,8.014340697958644
